date,state,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCurrently,negative,negativeIncrease,positive,positiveCasesViral,positiveIncrease,positiveScore,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2021-03-05,ND,1478.0,0,3875.0,3875.0,22.0,0,3.0,305910.0,312,100278.0,94866.0,94,0,98164.0,2917,1422537.0,2917,406,1533007.0,4170
2021-03-05,NE,2112.0,20,6226.0,6226.0,143.0,69,,769232.0,1102,202310.0,,337,0,156510.0,0,2411545.0,7859,1441,2411545.0,7859
2021-03-05,NH,1178.0,0,1126.0,1126.0,90.0,-1,,577690.0,445,76422.0,53755.0,244,0,73004.0,0,1481488.0,7047,619,1481488.0,7047
2021-03-05,NJ,23521.0,30,65254.0,65254.0,1881.0,1117,389.0,10186941.0,90590,806370.0,715889.0,3701,0,,0,10993311.0,94291,0,10902830.0,96433
2021-03-05,NM,3787.0,18,13229.0,13229.0,183.0,14,,,0,186460.0,,304,0,153376.0,0,2757994.0,19260,0,2757994.0,19260
2021-03-05,NV,5020.0,15,,,393.0,0,88.0,1127378.0,2124,295460.0,295460.0,391,0,,8024,2754332.0,8024,2515,,0
2021-03-05,NY,38891.0,95,,,5034.0,0,1030.0,,0,1666733.0,,8956,0,,296935,39194200.0,296935,0,,0
2021-03-05,OH,17656.0,467,50782.0,50782.0,919.0,87,266.0,,0,976230.0,834857.0,1750,0,921707.0,0,10187678.0,43131,0,10187678.0,43131
2021-03-05,OK,4534.0,0,24157.0,24157.0,366.0,54,109.0,3135060.0,8299,427558.0,,917,0,410778.0,0,3562618.0,9216,0,3536729.0,9046
2021-03-05,OR,2284.0,32,8699.0,8699.0,154.0,17,30.0,,0,156673.0,,386,0,,0,3798067.0,10629,0,3798067.0,10629
2021-03-05,PA,24262.0,43,,,1587.0,0,325.0,3926038.0,10767,944196.0,811019.0,2757,0,859218.0,59517,10629284.0,59517,12998,,0
2021-03-05,PR,2056.0,3,,,136.0,0,23.0,305972.0,0,101066.0,93114.0,199,0,91833.0,0,407038.0,199,0,415664.0,0
2021-03-05,RI,2541.0,2,9020.0,9020.0,141.0,18,25.0,674515.0,1387,128121.0,,394,0,,22869,3087981.0,22869,1781,,0
2021-03-05,SC,8699.0,39,20605.0,20605.0,664.0,63,163.0,4603549.0,25299,523258.0,448275.0,1695,0,230793.0,0,5126807.0,26994,0,5051824.0,26489
2021-03-05,SD,1896.0,0,6681.0,6681.0,74.0,17,16.0,313260.0,839,113229.0,100412.0,164,0,109237.0,0,698456.0,1800,1003,698456.0,1800
2021-03-05,TN,11534.0,33,18837.0,18837.0,939.0,58,246.0,,0,780894.0,653053.0,1445,0,755474.0,0,6856581.0,21699,0,6856581.0,21699
